,acc_waist_x,acc_waist_y,acc_waist_z,gyr_waist_x,gyr_waist_y,gyr_waist_z,acc_ankle_x,acc_ankle_y,acc_ankle_z,gyr_ankle_x,gyr_ankle_y,gyr_ankle_z,labelstanding,labelindoor,labelstone,labelgrass,labelsand,labeltable
2017-06-23 13:42:41.570,0.00107421875,-0.00398559570312,-1.00082702637,0.000144627401601,0.012199869936,-0.0271230173851,-0.00827840169271,-0.000700887044271,-0.990697224935,-0.0117363556255,-0.00398668113422,0.00460116116974,1,0,0,0,0,0
2017-06-23 13:42:41.820,0.00798621544471,-0.00394146259014,-1.00085331843,-0.00140127342218,0.00960700537293,-0.00846176416078,-0.00830078125,-0.000666691706731,-0.990667489859,-0.0109977080942,-0.00484304038573,0.00439390851081,1,0,0,0,0,0
2017-06-23 13:42:42.070,0.00801722208659,-0.00375620524089,-1.00107065837,-0.00124955518347,0.00908393151321,-0.00818755587631,-0.00801722208659,-0.000601450602214,-0.99071375529,-0.0106692003451,-0.00444699077423,0.00431085885651,1,0,0,0,0,0
2017-06-23 13:42:42.320,0.00795491536458,-0.00412241617838,-1.0008837382,-0.000620117059827,0.00837355548544,-0.00889702199071,-0.00824356079102,-0.000592549641927,-0.990840911865,-0.010844747047,-0.0048918052553,0.00511062832487,1,0,0,0,0,0
2017-06-23 13:42:42.570,0.00785700480143,-0.00405375162761,-1.00090535482,-0.000981508019751,0.00908366519711,-0.00845307303699,-0.00800577799479,-0.000966389973959,-0.991121927897,-0.0103114490387,-0.0046250230931,0.00484184879185,1,0,0,0,0,0
2017-06-23 13:42:42.820,0.00816462590144,-0.00398489145132,-1.00088853102,-0.000739416433735,0.00895291252335,-0.00886959655295,-0.00931373009315,-0.0027090219351,-0.991230891301,-0.00201128071279,-0.00350420784818,-0.011804154244,1,0,0,0,0,0
2017-06-23 13:42:43.070,0.00831712995257,-0.00401742117745,-1.00127737863,-0.00129585614128,0.00876400660555,-0.00877336571453,-0.0148500714984,0.00672040666854,-0.991042000907,-0.0156715236152,-0.00631034118036,-1.01887827609,1,0,0,0,0,0
2017-06-23 13:42:43.320,0.00830430250902,-0.00350013146034,-1.00112445538,-0.000733680394464,0.00902830046806,-0.0101023328498,-0.00374544583831,-0.00305645282451,-0.991631141076,-0.02483805385,0.00510755373953,-0.0832689553743,1,0,0,0,0,0
2017-06-23 13:42:43.570,0.0179290771484,-0.00731717623197,-1.00188739483,-0.000837461733557,0.0089693421787,-0.0056647075254,0.0292452298677,-0.0704052264874,-0.989561814528,0.554606677175,0.850319106554,-1.16483097444,1,0,0,0,0,0
2017-06-23 13:42:43.820,0.0137036641439,0.0111274719238,-1.00862630208,-0.039152995398,0.0547609392125,0.0589586581088,0.34610748291,-0.167383829753,,0.514409027817,1.05460040666,-0.88174325338,1,0,0,0,0,0
2017-06-23 13:42:44.070,-0.00166907677284,-0.0325739933894,-0.994374201848,0.129002171137,-0.0477077038809,-0.164493197121,0.498348529522,-0.310596172626,-0.593526986929,1.00837669296,0.0768584193427,0.622189511299,1,0,0,0,0,0
2017-06-23 13:42:44.320,0.0153821309408,-0.0283012390137,-1.01787567139,0.0872831517425,-0.0908556491868,-0.0824015774644,0.427209218343,-0.543780008952,-0.74834950765,0.276020246353,0.0529226700773,1.41401707649,1,0,0,0,0,0
2017-06-23 13:42:44.570,0.164967854818,-0.0981814066569,-1.09274546305,0.920390070628,1.07990654009,-0.0124287730704,0.237617492676,-0.674812316894,-0.670262654622,0.254643540529,0.0915592341538,1.07836556851,1,0,0,0,0,0
2017-06-23 13:42:44.820,0.328681945801,-0.371043613979,-0.747858319964,0.309295115763,0.714991165463,1.11483145656,0.0897391183036,-0.68514578683,-0.691179547991,-0.266876095695,-0.399962168759,0.43698644243,1,0,0,0,0,0
2017-06-23 13:42:45.070,-0.0523482102614,-0.323911226713,-0.917546198918,-0.583729470417,-1.01116619031,0.482274955652,-0.127510657677,-0.639285747821,-0.810910738431,-0.191024509278,-0.13947077058,0.118176257419,1,0,0,0,0,0
2017-06-23 13:42:45.320,0.0643627460186,-0.261746920072,-1.01760042631,-0.404031815458,0.206289564274,-0.539273158453,-0.135959331806,-0.546222393329,-0.75664461576,-0.0787183300765,-0.278809878573,0.957316274124,1,0,0,0,0,0
2017-06-23 13:42:45.570,-0.0584945678711,-0.375625610352,-0.956581115723,-0.0164720952032,-0.895340865661,-0.616426207063,-0.348664601644,-0.644612630208,-0.645872751872,0.135225999091,-0.448879974018,0.0638599841644,1,0,0,0,0,0
2017-06-23 13:42:45.820,-0.0873870849609,-0.158262986403,-0.931057269756,-0.215432442126,-0.362039193819,-0.148546844061,-0.259953425481,-0.483409001277,-0.845730121319,-1.33099096215,0.79214577368,-1.37537395523,1,0,0,0,0,0
2017-06-23 13:42:46.070,-0.218331654867,-0.153945922852,-0.900497436524,0.594290389363,0.234716748375,0.136261058841,0.0821278889973,-0.446253458659,-0.88436126709,0.748570396141,1.05928774772,0.0910517244221,1,0,0,0,0,0
2017-06-23 13:42:46.320,-0.112271822416,0.141973642202,-0.743396465595,,-1.26332046905,0.0297474684045,0.408664409931,-0.819557776818,-0.384848961464,,1.79540325645,-0.046971974901,1,0,0,0,0,0
2017-06-23 13:42:46.570,-0.250256856282,,-0.915510813395,,,-0.0377476896767,0.567487080892,-0.796028137207,-0.129439036051,0.416664357909,1.86068292057,-0.450324450401,1,0,0,0,0,0
