,Unnamed: 0,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelsitting,labeltable,labelstanding,labelwalking,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_Pressure
2017-06-09 10:20:28.407,0.0,-0.00959269205729,-0.586963229709,-0.811014811198,-0.0675648111247,0.0751019712792,0.0581367178243,1,0,0,0,-7.59013536242,-9.91633775499,-32.0521647135,100.8869
2017-06-09 10:20:28.657,1.0,-0.00433540344238,-0.637216567993,-0.781694412232,0.344285409663,0.31063363955,0.239951013953,1,0,0,0,-7.4080696106,-10.4591293335,-31.9736633301,100.8904
2017-06-09 10:20:28.907,2.0,-0.0173854827881,-0.707654953003,-0.691724777222,0.607840153516,0.597902101855,0.950145636067,1,0,0,0,-6.68664932251,-12.5557518006,-30.7964401245,100.8904
2017-06-09 10:20:29.157,3.0,-0.254529953003,-0.724704742432,-0.650482177734,-0.235546778011,-0.205277056034,0.876920024525,1,0,0,0,-9.94830703736,-11.3270511627,-30.3259963989,100.8904
2017-06-09 10:20:29.407,4.0,-0.304556274414,-0.624458312988,-0.636944580078,-0.237392288725,-1.25936784019,-0.0803445607157,1,0,0,0,-18.4123580933,-8.69635009766,-26.0803985596,100.8914
2017-06-09 10:20:29.657,5.0,-0.33222579956,-0.414869308472,-0.798938751221,-1.6939342377,0.830909123002,-0.438458614103,1,0,0,0,-19.7001552582,-0.770416259766,-25.8554191589,100.8929
2017-06-09 10:20:29.907,6.0,-0.197566986084,-0.171297073364,-0.996110916138,-1.06124139831,0.513890155265,-0.359601981462,1,0,0,0,-13.359506607,7.52482795715,-27.8508262634,100.8929
2017-06-09 10:20:30.157,7.0,0.0884653727214,-0.0932998657227,-1.00291697184,-0.564053435365,0.684630450563,-0.775998225628,1,0,0,0,-9.93709309895,8.63115437825,-27.8483174642,100.8929
2017-06-09 10:20:30.407,8.0,0.00340964577418,-0.00340687144887,-0.977658358487,-0.0891993364978,-0.136041507437,0.0240819488943,1,0,0,0,-7.22302246094,8.7104658647,-27.0668057528,100.8929
2017-06-09 10:20:30.657,9.0,0.033769607544,0.0211620330811,-1.00020980835,0.00419757464163,0.0627726043954,0.465418626054,1,0,0,0,-7.98580551147,8.93138122558,-25.5908126831,100.8929
2017-06-09 10:20:30.907,10.0,-0.0154972076416,0.00176048278809,-0.991180419922,-0.010002100685,-0.00480127997125,0.00417373934989,1,0,0,0,-8.05127334595,9.20286750793,-25.541053772,100.8929
2017-06-09 10:20:31.157,11.0,-0.0153520372179,0.00168016221788,-0.991672092014,-0.0106712568973,-0.00497833579772,0.00371780247243,1,0,0,0,-7.96071709527,9.12839931912,-25.6107652452,100.8929
2017-06-09 10:20:31.407,12.0,-0.0154132843017,0.0015754699707,-0.991931915283,-0.0100047971356,-0.00519925610665,0.00337359260037,1,0,0,0,-8.07012939453,9.15596008301,-25.682094574,100.8923
2017-06-09 10:20:31.657,13.0,-0.01537238227,0.0016343858507,-0.992043389215,-0.0103128250052,-0.00474267563193,0.00442709104275,1,0,0,0,-8.06061808268,9.26114230686,-25.5258653429,100.8921
2017-06-09 10:20:31.907,14.0,-0.015623304579,0.00184800889757,-0.991621229384,-0.0105494024821,-0.00462487513971,0.00466535518828,1,0,0,0,-8.13556247287,9.25233629015,-25.4174296061,100.8921
2017-06-09 10:20:32.157,15.0,-0.0153694152832,0.00136947631836,-0.992223739624,-0.0100020673955,-0.00466822178529,0.00417393908697,1,0,0,0,-8.08889007568,9.09959793091,-25.6638679504,100.892025
2017-06-09 10:20:32.407,16.0,-0.0154457092285,0.00144577026367,-0.991641998291,-0.00987113973843,-0.00466695678377,0.00337372575843,1,0,0,0,-8.0606956482,9.16533851623,-25.5882835388,100.8915
2017-06-09 10:20:32.657,17.0,-0.0152384440104,0.00168863932292,-0.991755167643,-0.00995791440395,-0.00474196545564,0.00406996114058,1,0,0,0,-7.93573337131,9.22027079264,-25.7349209256,100.8915
2017-06-09 10:20:32.907,18.0,-0.0153865814209,0.00145149230957,-0.992082595825,-0.0108025470402,-0.00373741369479,0.00431258991122,1,0,0,0,-8.01377487182,9.4375667572,-25.7825508118,100.8915
2017-06-09 10:20:33.157,19.0,-0.0152893066406,0.00169372558594,-0.991680145264,-0.010937669176,-0.00493440473624,0.00391168429862,1,0,0,0,-7.98568725586,9.19389343262,-25.6163063049,100.8915
2017-06-09 10:20:33.407,20.0,-0.0153923034668,0.00152778625488,-0.991868972778,-0.00973461944306,-0.00480134655028,0.00430566569239,1,0,0,0,-7.9107208252,9.15682029724,-25.6449928284,100.8915
2017-06-09 10:20:33.657,21.0,-0.0150871276855,0.00180435180664,-0.991891860962,-0.00986804381367,-0.00440223857142,0.0043069306939,1,0,0,0,-7.89189910889,9.27879142761,-25.6344413757,100.8915
2017-06-09 10:20:33.907,22.0,-0.0152481079102,0.00203704833984,-0.991888427734,-0.0103471531517,-0.00501534485967,0.00484144044049,1,0,0,0,-7.80562744141,9.39931030273,-25.7159515381,100.8915
2017-06-09 10:20:34.157,23.0,-0.015380859375,0.00174522399902,-0.992078781128,-0.0102700479802,-0.00493407184111,0.00390835534726,1,0,0,0,-7.80762863159,9.15740966797,-25.692111969,100.8933
