,acc_phone_accelerometerAccelerationX(G),acc_phone_accelerometerAccelerationY(G),acc_phone_accelerometerAccelerationZ(G),gyr_phone_gyroRotationX(rad/s),gyr_phone_gyroRotationY(rad/s),gyr_phone_gyroRotationZ(rad/s),mag_phone_motionMagneticFieldX,mag_phone_motionMagneticFieldY,mag_phone_motionMagneticFieldZ,press_phone_altimeterPressure(kPa)
2017-06-07 09:17:35.351,-0.011737060400000001,-0.00079650899999999993,-0.98929748520000005,-0.0119522136,-0.0036309006,0.00389205,3.2876708982,15.754022218,-36.310900878,100.55156
2017-06-07 09:17:35.601,-0.012699127250000001,-0.00098419174999999997,-0.99177551274999998,-0.01119972425,-0.0040053275,0.00538025125,3.33292388925,16.155490875,-36.24698639,100.551
2017-06-07 09:17:35.851,-0.011749267599999998,-0.0020019532000000008,-0.99303588860000003,-0.011255957,-0.0052452556,0.086827414,3.0930908202,16.502911378,-36.242919922,100.551
2017-06-07 09:17:36.101,0.019050598000000002,0.031501769749999992,-0.98965072625000006,-0.01217663825,-0.00419075025,-0.04871887025,2.02092742925,16.9731597925,-36.010536195,100.551
2017-06-07 09:17:36.351,-0.011005401500000001,0.00057602975000000008,-0.99012756324999995,-0.01174241,-0.00373548275,0.00271815525,1.9271621705,16.9163818375,-35.9921188375,100.5503
2017-06-07 09:17:36.601,-0.01145935075,-0.00066375724999999982,-0.99019241324999996,-0.013342903,-0.00347096425,0.003259576,2.07720184325,17.029727935,-36.02885437,100.5496
2017-06-07 09:17:36.851,-0.01114273075,0.00012588500000000006,-0.99404525774999997,-0.0109381355,-0.005067262,0.00377822675,2.1522979735,17.086307525,-35.878479005,100.5496
2017-06-07 09:17:37.101,-0.010498047,0.00059509280000000014,-0.99174499500000002,-0.0102429436,-0.005759299,0.004093545,2.0135864256,17.231829832,-35.947924806,100.5496
2017-06-07 09:17:37.351,-0.011005401499999999,-0.00090026850000000003,-0.99197006199999993,-0.00960129475,-0.005599629,0.0043038015,2.095970154,16.97353363,-35.9357147225,100.549075
2017-06-07 09:17:37.601,-0.012298584249999999,-0.0014381410000000002,-0.98874282850000006,-0.01093786875,-0.00400279775,0.00377982475,2.095954895,17.0673446675,-36.06602478,100.5489
2017-06-07 09:17:37.851,-0.01177597025,-0.00060272199999999998,-0.99061584500000011,-0.00933404675,-0.00480114675,0.00430366825,2.15220642075,17.0113716125,-36.0104827875,100.5489
2017-06-07 09:17:38.101,0.047168731750000005,0.01432418825,-0.99213790899999998,-0.0098090215,-0.0020244685,0.1045220155,2.86456298825,16.58394623,-35.8290328975,100.5489
2017-06-07 09:17:38.351,-0.0116462705,-0.00087738050000000004,-0.99203491224999996,-0.01093979975,-0.00480034775,0.00324559425,2.770866394,16.56463623,-35.7352371225,100.5489
2017-06-07 09:17:38.601,-0.011877441000000001,0.00012512219999999993,-0.99103393539999995,-0.0110983512,-0.0036301548,0.0036745764,2.7182983398,16.365567016,-35.673352052,100.5489
2017-06-07 09:17:38.851,-0.011653899999999998,-0.00059127799999999999,-0.99084472649999999,-0.010669422,-0.0053340455,0.00430952725,2.7145614625,16.45183182,-35.7362289425,100.5489
2017-06-07 09:17:39.101,-0.01166152975,-0.00076675425,-0.99172973600000003,-0.0106709535,-0.004534897,0.00377769375,2.92103576675,16.7153625475,-35.5466079725,100.54905
2017-06-07 09:17:39.351,-0.01140213025,-0.00075149525000000011,-0.99076843250000002,-0.010937869,-0.00400279775,0.00377982475,2.88334655775,16.4527130125,-35.6616439825,100.5495
2017-06-07 09:17:39.601,0.019012450999999993,0.0087402308000000001,-0.99188232440000001,-0.0095778456,-0.004591343,0.0772252802,3.0332336428,16.292330932,-35.734869386,100.5495
2017-06-07 09:17:39.851,-0.011428832999999999,-0.00050354874999999997,-0.99236679100000003,-0.01040230725,-0.00506779575,0.00430859525,2.92082214375,16.3403930675,-35.58785248,100.5495
2017-06-07 09:17:40.101,-0.010520935249999998,-0.00054550774999999991,-0.99245071399999996,-0.010403106,-0.00480128,0.004042479,3.03326416025,16.3598251325,-35.737945555,100.5498
2017-06-07 09:17:40.351,-0.011051178,-0.00030899474999999997,-0.99202728275000007,-0.010135858,-0.00400279775,0.0040423455,2.9771118165,16.415714265,-35.6247405975,100.5501
2017-06-07 09:17:40.601,-0.011112212999999999,-0.00042724600000000005,-0.99234771725000004,-0.01120664875,-0.00400213175,0.00324812425,3.01448822025,16.3222236625,-35.7382812525,100.5501
